nr,X,Y,H,czas,tryb
0800_2011,5545175.5883,7422024.8197,238.8602,06/06/2011 11:24:15,Pomierzony
0801_2011,5545179.9641,7422021.1794,238.8602,06/06/2011 11:24:20,Pomierzony
0802_2011,5545183.138,7422016.3689,238.8546,06/06/2011 11:24:25,Pomierzony
0803_2011,5545181.3918,7422013.0244,238.8687,06/06/2011 11:24:30,Pomierzony
0804_2011,5545180.4231,7422009.2826,238.8816,06/06/2011 11:24:35,Pomierzony
0805_2011,5545182.2864,7422006.8875,238.8794,06/06/2011 11:24:40,Pomierzony
0806_2011,5545186.0804,7422005.2207,238.8872,06/06/2011 11:24:45,Pomierzony
0807_2011,5545189.1404,7422001.9203,238.8479,06/06/2011 11:24:50,Pomierzony
0808_2011,5545190.1699,7421997.7139,238.88,06/06/2011 11:24:55,Pomierzony
0809_2011,5545191.9765,7421993.3824,238.8711,06/06/2011 11:25:00,Pomierzony
0810_2011,5545195.191,7421987.9981,238.8944,06/06/2011 11:25:05,Pomierzony
0811_2011,5545198.8697,7421983.3277,238.8456,06/06/2011 11:25:10,Pomierzony
0812_2011,5545201.7324,7421984.3542,238.8636,06/06/2011 11:25:15,Pomierzony
0813_2011,5545202.1469,7421988.1656,238.9027,06/06/2011 11:25:20,Pomierzony
0814_2011,5545200.5015,7421993.0656,238.8575,06/06/2011 11:25:25,Pomierzony
0815_2011,5545201.9922,7421998.1505,238.8701,06/06/2011 11:25:30,Pomierzony
0816_2011,5545205.0546,7422002.3479,238.8706,06/06/2011 11:25:35,Pomierzony
0817_2011,5545206.986,7422006.863,238.8709,06/06/2011 11:25:40,Pomierzony
0818_2011,5545204.0591,7422010.5874,238.8818,06/06/2011 11:25:45,Pomierzony
0819_2011,5545199.7622,7422014.4786,238.8892,06/06/2011 11:25:50,Pomierzony
0820_2011,5545196.4266,7422019.0162,238.8968,06/06/2011 11:25:55,Pomierzony
0821_2011,5545193.828,7422023.4872,238.8628,06/06/2011 11:26:00,Pomierzony
0822_2011,5545189.3282,7422025.7594,238.8801,06/06/2011 11:26:05,Pomierzony
0823_2011,5545185.0589,7422029.5391,238.8715,06/06/2011 11:26:10,Pomierzony
0824_2011,5545180.7741,7422032.1733,238.8681,06/06/2011 11:26:15,Pomierzony
0825_2011,5545176.9229,7422035.634,238.8575,06/06/2011 11:26:20,Pomierzony
0826_2011,5545172.8554,7422037.8127,238.8582,06/06/2011 11:26:25,Pomierzony
0827_2011,5545168.3809,7422040.8933,238.8719,06/06/2011 11:26:30,Pomierzony
0828_2011,5545164.8821,7422045.2605,238.8661,06/06/2011 11:26:35,Pomierzony
0829_2011,5545163.0003,7422049.8822,238.8797,06/06/2011 11:26:40,Pomierzony
0830_2011,5545159.5463,7422053.7095,238.9037,06/06/2011 11:26:45,Pomierzony
0831_2011,5545155.3599,7422057.4515,238.8916,06/06/2011 11:26:50,Pomierzony
0832_2011,5545150.9725,7422059.078,238.9111,06/06/2011 11:26:55,Pomierzony
0833_2011,5545146.5338,7422060.0089,238.8967,06/06/2011 11:27:00,Pomierzony
0834_2011,5545142.3404,7422059.5591,238.8856,06/06/2011 11:27:05,Pomierzony
0835_2011,5545137.8236,7422059.3568,238.9128,06/06/2011 11:27:10,Pomierzony
0836_2011,5545134.4293,7422056.8083,238.8978,06/06/2011 11:27:15,Pomierzony
0837_2011,5545131.3797,7422054.0488,238.9185,06/06/2011 11:27:20,Pomierzony
0838_2011,5545128.8636,7422051.8315,238.8766,06/06/2011 11:27:25,Pomierzony
0839_2011,5545128.9308,7422051.2599,238.9441,06/06/2011 11:27:30,Pomierzony
0840_2011,5545128.8496,7422049.4783,238.9055,06/06/2011 11:27:35,Pomierzony
0841_2011,5545127.6391,7422048.9306,238.9127,06/06/2011 11:27:40,Pomierzony
0842_2011,5545127.4738,7422048.9978,238.9724,06/06/2011 11:27:45,Pomierzony
0843_2011,5545127.254,7422049.0482,238.9363,06/06/2011 11:27:50,Pomierzony
0844_2011,5545127.4273,7422049.162,238.925,06/06/2011 11:27:55,Pomierzony
0845_2011,5545127.0277,7422049.0084,238.9245,06/06/2011 11:28:00,Pomierzony
0846_2011,5545127.3332,7422049.1288,238.8785,06/06/2011 11:28:05,Pomierzony
0847_2011,5545127.0503,7422048.9618,238.7896,06/06/2011 11:28:10,Pomierzony
0848_2011,5545127.0099,7422049.3107,238.636,06/06/2011 11:28:15,Pomierzony
0849_2011,5545126.9622,7422049.3904,238.4366,06/06/2011 11:28:20,Pomierzony
0850_2011,5545127.357,7422049.7236,238.3052,06/06/2011 11:28:25,Pomierzony
0851_2011,5545128.145,7422050.0724,238.1893,06/06/2011 11:28:30,Pomierzony
0852_2011,5545128.7827,7422050.4227,238.0574,06/06/2011 11:28:35,Pomierzony
0853_2011,5545129.336,7422050.8462,237.9611,06/06/2011 11:28:40,Pomierzony
0854_2011,5545129.7844,7422051.2407,237.8432,06/06/2011 11:28:45,Pomierzony
0855_2011,5545129.3932,7422051.4307,238.9624,06/06/2011 11:28:50,Pomierzony
0856_2011,5545129.7285,7422051.5564,238.9445,06/06/2011 11:28:55,Pomierzony
0857_2011,5545130.188,7422051.8386,238.9383,06/06/2011 11:29:00,Pomierzony
0858_2011,5545130.8534,7422051.9397,238.9433,06/06/2011 11:29:05,Pomierzony
0859_2011,5545131.3991,7422052.1284,238.93,06/06/2011 11:29:10,Pomierzony
0860_2011,5545131.7371,7422053.3493,238.8792,06/06/2011 11:29:15,Pomierzony
0861_2011,5545132.8506,7422054.1723,238.8937,06/06/2011 11:29:20,Pomierzony
0862_2011,5545135.699,7422054.12,238.8994,06/06/2011 11:29:25,Pomierzony
0863_2011,5545139.7207,7422053.4338,238.9147,06/06/2011 11:29:30,Pomierzony
0864_2011,5545144.4971,7422052.3864,238.887,06/06/2011 11:29:35,Pomierzony
0865_2011,5545148.8758,7422050.3085,238.909,06/06/2011 11:29:40,Pomierzony
0866_2011,5545150.9615,7422048.3897,238.9153,06/06/2011 11:29:45,Pomierzony
0867_2011,5545151.443,7422045.2224,238.901,06/06/2011 11:29:50,Pomierzony
0868_2011,5545154.3649,7422042.3972,238.8844,06/06/2011 11:29:55,Pomierzony
0869_2011,5545158.8708,7422040.2578,238.9066,06/06/2011 11:30:00,Pomierzony
0870_2011,5545163.3172,7422037.3613,238.8977,06/06/2011 11:30:05,Pomierzony
0871_2011,5545166.7444,7422033.4833,238.8959,06/06/2011 11:30:10,Pomierzony
0872_2011,5545169.2235,7422029.0153,238.8764,06/06/2011 11:30:15,Pomierzony
0873_2011,5545171.3329,7422024.4817,238.8865,06/06/2011 11:30:20,Pomierzony
0874_2011,5545172.2426,7422019.7434,238.9137,06/06/2011 11:30:25,Pomierzony
0875_2011,5545171.67,7422015.3667,238.8922,06/06/2011 11:30:30,Pomierzony
0876_2011,5545171.8921,7422011.0118,238.8852,06/06/2011 11:30:35,Pomierzony
0877_2011,5545172.2928,7422006.3563,238.8783,06/06/2011 11:30:40,Pomierzony
0878_2011,5545170.7137,7422003.2592,238.863,06/06/2011 11:30:45,Pomierzony
0879_2011,5545168.1289,7422000.0982,238.8616,06/06/2011 11:30:50,Pomierzony
0880_2011,5545166.7297,7421995.6409,238.8551,06/06/2011 11:30:55,Pomierzony
0881_2011,5545166.8357,7421990.5535,238.8665,06/06/2011 11:31:00,Pomierzony
0882_2011,5545167.4934,7421985.197,238.841,06/06/2011 11:31:05,Pomierzony
0883_2011,5545168.4677,7421979.8835,238.8757,06/06/2011 11:31:10,Pomierzony
0884_2011,5545168.1097,7421974.9643,238.8714,06/06/2011 11:31:15,Pomierzony
0885_2011,5545165.2809,7421971.93,238.8707,06/06/2011 11:31:20,Pomierzony
0886_2011,5545161.2621,7421970.8561,238.8853,06/06/2011 11:31:25,Pomierzony
0887_2011,5545158.0798,7421967.7689,238.8685,06/06/2011 11:31:30,Pomierzony
0888_2011,5545157.0291,7421963.8078,238.8497,06/06/2011 11:31:35,Pomierzony
0889_2011,5545158.2615,7421959.6127,238.8611,06/06/2011 11:31:40,Pomierzony
0890_2011,5545159.5846,7421954.4815,238.8603,06/06/2011 11:31:45,Pomierzony
0891_2011,5545158.3036,7421950.3519,238.8688,06/06/2011 11:31:50,Pomierzony
0892_2011,5545156.4489,7421946.4133,238.8607,06/06/2011 11:31:55,Pomierzony
0893_2011,5545154.3844,7421941.8191,238.8609,06/06/2011 11:32:00,Pomierzony
0894_2011,5545151.1298,7421939.4434,238.8425,06/06/2011 11:32:05,Pomierzony
0895_2011,5545147.5995,7421937.515,238.8474,06/06/2011 11:32:10,Pomierzony
0896_2011,5545144.4487,7421933.8851,238.8842,06/06/2011 11:32:15,Pomierzony
0897_2011,5545140.6513,7421930.0883,238.8606,06/06/2011 11:32:20,Pomierzony
0898_2011,5545136.6389,7421929.9601,238.8478,06/06/2011 11:32:25,Pomierzony
0899_2011,5545132.6391,7421928.0909,238.8476,06/06/2011 11:32:30,Pomierzony
0900_2011,5545132.0252,7421924.338,238.8413,06/06/2011 11:32:35,Pomierzony
0901_2011,5545134.1447,7421919.9709,238.8551,06/06/2011 11:32:40,Pomierzony
0902_2011,5545137.6244,7421915.4833,238.849,06/06/2011 11:32:45,Pomierzony
0903_2011,5545140.075,7421910.4038,238.8568,06/06/2011 11:32:50,Pomierzony
0904_2011,5545139.5298,7421906.1539,238.8888,06/06/2011 11:32:55,Pomierzony
0905_2011,5545137.2841,7421902.9044,238.8326,06/06/2011 11:33:00,Pomierzony
0906_2011,5545134.4317,7421900.131,238.8628,06/06/2011 11:33:05,Pomierzony
0907_2011,5545131.392,7421898.5265,238.8626,06/06/2011 11:33:10,Pomierzony
0908_2011,5545127.6985,7421897.8107,238.8553,06/06/2011 11:33:15,Pomierzony
0909_2011,5545123.8769,7421896.0644,238.8737,06/06/2011 11:33:20,Pomierzony
0910_2011,5545121.4199,7421893.3528,238.8504,06/06/2011 11:33:25,Pomierzony
0911_2011,5545120.4908,7421889.8967,238.858,06/06/2011 11:33:30,Pomierzony
0912_2011,5545120.702,7421887.2406,238.8407,06/06/2011 11:33:35,Pomierzony
0913_2011,5545121.1067,7421885.4101,238.8463,06/06/2011 11:33:40,Pomierzony
0914_2011,5545121.394,7421884.1164,238.8489,06/06/2011 11:33:45,Pomierzony
0915_2011,5545121.5555,7421883.1396,238.8197,06/06/2011 11:33:50,Pomierzony
0916_2011,5545122.0185,7421884.0228,238.8554,06/06/2011 11:33:55,Pomierzony
0917_2011,5545125.0863,7421883.1027,238.8421,06/06/2011 11:34:00,Pomierzony
0918_2011,5545130.2151,7421882.3362,238.8707,06/06/2011 11:34:05,Pomierzony
0919_2011,5545135.3879,7421884.918,238.8544,06/06/2011 11:34:10,Pomierzony
0920_2011,5545139.6385,7421889.0865,238.8616,06/06/2011 11:34:15,Pomierzony
0921_2011,5545143.8265,7421893.8758,238.854,06/06/2011 11:34:20,Pomierzony
0922_2011,5545148.9543,7421896.0277,238.8415,06/06/2011 11:34:25,Pomierzony
0923_2011,5545154.434,7421895.9688,238.8615,06/06/2011 11:34:30,Pomierzony
0924_2011,5545159.4523,7421893.716,238.8476,06/06/2011 11:34:35,Pomierzony
0925_2011,5545163.3089,7421890.2103,238.8626,06/06/2011 11:34:40,Pomierzony
0926_2011,5545166.4011,7421886.1434,238.8255,06/06/2011 11:34:45,Pomierzony
0927_2011,5545170.5583,7421885.3184,238.8535,06/06/2011 11:34:50,Pomierzony
0928_2011,5545175.1311,7421883.6633,238.8416,06/06/2011 11:34:55,Pomierzony
0929_2011,5545178.9033,7421880.0154,238.8567,06/06/2011 11:35:00,Pomierzony
0930_2011,5545180.0103,7421875.1307,238.8543,06/06/2011 11:35:05,Pomierzony
0931_2011,5545182.0213,7421870.8349,238.8644,06/06/2011 11:35:10,Pomierzony
0932_2011,5545186.6309,7421870.1993,238.8577,06/06/2011 11:35:15,Pomierzony
0933_2011,5545192.053,7421871.1218,238.8482,06/06/2011 11:35:20,Pomierzony
0934_2011,5545196.8359,7421870.2913,238.8496,06/06/2011 11:35:25,Pomierzony
0935_2011,5545201.9043,7421870.6356,238.8667,06/06/2011 11:35:30,Pomierzony
0936_2011,5545206.7107,7421873.1643,238.8531,06/06/2011 11:35:35,Pomierzony
0937_2011,5545211.1479,7421876.4065,238.8443,06/06/2011 11:35:40,Pomierzony
0938_2011,5545216.07,7421879.6472,238.8725,06/06/2011 11:35:45,Pomierzony
0939_2011,5545220.9691,7421880.5921,238.8681,06/06/2011 11:35:50,Pomierzony
0940_2011,5545224.987,7421879.4209,238.8793,06/06/2011 11:35:55,Pomierzony
0941_2011,5545229.9536,7421879.1161,238.8621,06/06/2011 11:36:00,Pomierzony
0942_2011,5545235.2792,7421880.402,238.8675,06/06/2011 11:36:05,Pomierzony
0943_2011,5545240.8947,7421883.0935,238.8834,06/06/2011 11:36:10,Pomierzony
0944_2011,5545247.0286,7421884.8382,238.8889,06/06/2011 11:36:15,Pomierzony
0945_2011,5545251.1428,7421883.4823,238.8807,06/06/2011 11:36:20,Pomierzony
0946_2011,5545255.4112,7421881.4814,238.8909,06/06/2011 11:36:25,Pomierzony
0947_2011,5545260.2563,7421883.0331,238.8835,06/06/2011 11:36:30,Pomierzony
0948_2011,5545264.6172,7421885.6361,238.8738,06/06/2011 11:36:35,Pomierzony
0949_2011,5545267.5703,7421889.7037,238.8895,06/06/2011 11:36:40,Pomierzony
0950_2011,5545270.4322,7421895.0498,238.897,06/06/2011 11:36:45,Pomierzony
0951_2011,5545274.9191,7421898.063,238.8819,06/06/2011 11:36:50,Pomierzony
0952_2011,5545279.6788,7421898.4307,238.8716,06/06/2011 11:36:55,Pomierzony
0953_2011,5545284.6321,7421899.815,238.8691,06/06/2011 11:37:00,Pomierzony
0954_2011,5545289.3983,7421901.8605,238.8998,06/06/2011 11:37:05,Pomierzony
0955_2011,5545294.5777,7421904.0825,238.8713,06/06/2011 11:37:10,Pomierzony
0956_2011,5545299.1772,7421904.3002,238.879,06/06/2011 11:37:15,Pomierzony
0957_2011,5545303.8659,7421903.8519,238.8942,06/06/2011 11:37:20,Pomierzony
0958_2011,5545306.1689,7421907.7898,238.9116,06/06/2011 11:37:25,Pomierzony
0959_2011,5545307.3962,7421913.1452,238.8778,06/06/2011 11:37:30,Pomierzony
0960_2011,5545309.0752,7421918.6327,238.8973,06/06/2011 11:37:35,Pomierzony
0961_2011,5545312.5618,7421921.4359,238.9064,06/06/2011 11:37:40,Pomierzony
0962_2011,5545315.6694,7421925.8851,238.8808,06/06/2011 11:37:45,Pomierzony
0963_2011,5545316.2243,7421931.5788,238.8915,06/06/2011 11:37:50,Pomierzony
0964_2011,5545313.1753,7421935.1508,238.9016,06/06/2011 11:37:55,Pomierzony
0965_2011,5545308.9523,7421937.9145,238.9104,06/06/2011 11:38:00,Pomierzony
0966_2011,5545304.1261,7421940.3403,238.9097,06/06/2011 11:38:05,Pomierzony
0967_2011,5545300.4758,7421944.4493,238.8979,06/06/2011 11:38:10,Pomierzony
0968_2011,5545299.3915,7421949.5223,238.9055,06/06/2011 11:38:15,Pomierzony
0969_2011,5545300.9924,7421954.1056,238.8851,06/06/2011 11:38:20,Pomierzony
0970_2011,5545299.5697,7421958.0197,238.8735,06/06/2011 11:38:25,Pomierzony
0971_2011,5545296.1778,7421961.3696,238.8941,06/06/2011 11:38:30,Pomierzony
0972_2011,5545293.2925,7421965.8689,238.8872,06/06/2011 11:38:35,Pomierzony
0973_2011,5545293.0478,7421970.3788,238.9094,06/06/2011 11:38:40,Pomierzony
0974_2011,5545293.6966,7421974.3134,238.9059,06/06/2011 11:38:45,Pomierzony
0975_2011,5545294.3747,7421977.9121,238.9266,06/06/2011 11:38:50,Pomierzony
0976_2011,5545294.415,7421982.1751,238.9033,06/06/2011 11:38:55,Pomierzony
0977_2011,5545294.1918,7421987.1903,238.8851,06/06/2011 11:39:00,Pomierzony
0978_2011,5545293.0634,7421992.2121,238.8836,06/06/2011 11:39:05,Pomierzony
0979_2011,5545292.0796,7421998.4373,238.8695,06/06/2011 11:39:10,Pomierzony
0980_2011,5545293.2964,7422005.3317,238.8981,06/06/2011 11:39:15,Pomierzony
0981_2011,5545294.752,7422008.4351,238.8895,06/06/2011 11:39:20,Pomierzony
0982_2011,5545295.8384,7422010.0999,238.8817,06/06/2011 11:39:25,Pomierzony
0983_2011,5545298.9981,7422010.3633,238.8901,06/06/2011 11:39:30,Pomierzony
0984_2011,5545299.8157,7422014.0969,238.8585,06/06/2011 11:39:35,Pomierzony
0985_2011,5545297.8243,7422018.6204,238.8805,06/06/2011 11:39:40,Pomierzony
0986_2011,5545294.8555,7422023.7425,238.8889,06/06/2011 11:39:45,Pomierzony
0987_2011,5545294.5903,7422028.9093,238.8903,06/06/2011 11:39:50,Pomierzony
0988_2011,5545293.3939,7422034.3996,238.871,06/06/2011 11:39:55,Pomierzony
0989_2011,5545289.5459,7422035.4871,238.8725,06/06/2011 11:40:00,Pomierzony
0990_2011,5545284.8741,7422036.2419,238.8916,06/06/2011 11:40:05,Pomierzony
0991_2011,5545279.816,7422037.2815,238.9026,06/06/2011 11:40:10,Pomierzony
0992_2011,5545274.3462,7422037.188,238.8878,06/06/2011 11:40:15,Pomierzony
0993_2011,5545269.017,7422036.1439,238.8881,06/06/2011 11:40:20,Pomierzony
0994_2011,5545263.728,7422034.8341,238.8825,06/06/2011 11:40:25,Pomierzony
0995_2011,5545258.4523,7422034.091,238.8939,06/06/2011 11:40:30,Pomierzony
0996_2011,5545253.5084,7422034.8543,238.8464,06/06/2011 11:40:35,Pomierzony
0997_2011,5545248.9153,7422037.1788,238.893,06/06/2011 11:40:40,Pomierzony
0998_2011,5545244.0445,7422039.2903,238.9106,06/06/2011 11:40:45,Pomierzony
0999_2011,5545239.1949,7422038.5186,238.9006,06/06/2011 11:40:50,Pomierzony
1000_2011,5545234.4942,7422036.0805,238.9092,06/06/2011 11:40:55,Pomierzony
1001_2011,5545229.5825,7422035.0015,238.9178,06/06/2011 11:41:00,Pomierzony
1002_2011,5545224.9651,7422035.7063,238.9211,06/06/2011 11:41:05,Pomierzony
1003_2011,5545220.9647,7422037.4325,238.8929,06/06/2011 11:41:10,Pomierzony
1004_2011,5545215.7739,7422037.1806,238.9155,06/06/2011 11:41:15,Pomierzony
1005_2011,5545209.6901,7422036.6744,238.9135,06/06/2011 11:41:20,Pomierzony
1006_2011,5545206.1781,7422039.3723,238.8954,06/06/2011 11:41:25,Pomierzony
1007_2011,5545201.4384,7422040.5213,238.9244,06/06/2011 11:41:30,Pomierzony
1008_2011,5545196.083,7422038.8326,238.8936,06/06/2011 11:41:35,Pomierzony
1009_2011,5545190.6398,7422037.6233,238.8892,06/06/2011 11:41:40,Pomierzony
1010_2011,5545185.2746,7422036.8583,238.8982,06/06/2011 11:41:45,Pomierzony
1011_2011,5545181.0898,7422037.9466,238.897,06/06/2011 11:41:50,Pomierzony
1012_2011,5545176.0111,7422037.8278,238.8966,06/06/2011 11:41:55,Pomierzony
1013_2011,5545171.5146,7422039.0172,238.8835,06/06/2011 11:42:00,Pomierzony
1014_2011,5545167.3444,7422040.5968,238.8868,06/06/2011 11:42:05,Pomierzony
1015_2011,5545162.9294,7422042.0303,238.8817,06/06/2011 11:42:10,Pomierzony
1016_2011,5545159.1258,7422044.0994,238.891,06/06/2011 11:42:15,Pomierzony
1017_2011,5545155.7917,7422046.5536,238.8925,06/06/2011 11:42:20,Pomierzony
1018_2011,5545151.9424,7422048.3581,238.8936,06/06/2011 11:42:25,Pomierzony
1019_2011,5545149.4851,7422051.0579,238.8834,06/06/2011 11:42:30,Pomierzony
1020_2011,5545148.3149,7422054.9369,238.8841,06/06/2011 11:42:35,Pomierzony
1021_2011,5545145.7673,7422058.4307,238.8929,06/06/2011 11:42:40,Pomierzony
1022_2011,5545143.0114,7422061.3981,238.8927,06/06/2011 11:42:45,Pomierzony
1023_2011,5545140.1384,7422063.9979,239.0917,06/06/2011 11:42:50,Pomierzony
1024_2011,5545136.3515,7422065.615,238.8973,06/06/2011 11:42:55,Pomierzony
1025_2011,5545132.8714,7422064.3194,238.893,06/06/2011 11:43:00,Pomierzony
1026_2011,5545130.6605,7422061.6822,238.8872,06/06/2011 11:43:05,Pomierzony
1027_2011,5545129.4604,7422058.4087,238.9219,06/06/2011 11:43:10,Pomierzony
1028_2011,5545128.9321,7422055.4121,238.8937,06/06/2011 11:43:15,Pomierzony
1029_2011,5545129.3729,7422052.4716,238.8976,06/06/2011 11:43:20,Pomierzony
1030_2011,5545129.1338,7422050.6724,238.904,06/06/2011 11:43:25,Pomierzony
1031_2011,5545129.1639,7422049.4311,238.9096,06/06/2011 11:43:30,Pomierzony
1032_2011,5545127.1924,7422049.1148,238.9291,06/06/2011 11:43:35,Pomierzony
1033_2011,5545127.0824,7422049.6,238.9095,06/06/2011 11:43:40,Pomierzony
1034_2011,5545126.8891,7422049.7393,238.9719,06/06/2011 11:43:45,Pomierzony
1035_2011,5545126.7416,7422049.5387,238.9256,06/06/2011 11:43:50,Pomierzony
1036_2011,5545126.9468,7422049.4265,238.9113,06/06/2011 11:43:55,Pomierzony
1037_2011,5545126.9961,7422049.6213,238.8904,06/06/2011 11:44:00,Pomierzony
1038_2011,5545127.3218,7422049.8891,238.9421,06/06/2011 11:44:05,Pomierzony
1039_2011,5545127.1642,7422049.6572,238.8549,06/06/2011 11:44:10,Pomierzony
1040_2011,5545127.2652,7422049.6329,238.8806,06/06/2011 11:44:15,Pomierzony
1041_2011,5545127.5672,7422049.3851,238.9553,06/06/2011 11:44:20,Pomierzony
1042_2011,5545127.0228,7422049.2294,238.8786,06/06/2011 11:44:25,Pomierzony
1043_2011,5545127.2977,7422049.582,238.6803,06/06/2011 11:44:30,Pomierzony
