X,Y,H
5545159.4688,7422056.6431,177.7359846096
5545160.2319,7422057.1398,177.5414049144
5545161.1065,7422057.5973,177.3534769144
5545161.9392,7422058.1193,177.124628724
5545162.9011,7422058.5059,176.7468748952
5545163.8268,7422058.9898,176.3808032
5545164.7986,7422059.3801,175.9926644192
5545165.7906,7422059.7184,175.8515312
5545166.7802,7422060.0019,175.723928724
5545167.8102,7422060.2549,175.674020724
5545168.7856,7422060.4251,175.64931089520002
5545169.7944,7422060.5276,175.5831748952
5545170.8059,7422060.5973,175.42152872399998
5545171.8416,7422060.5561,175.28873119999997
5545172.8498,7422060.6085,175.19930811440003
5545173.8859,7422060.6845,175.0377108952
5545174.8519,7422060.7591,175.09193119999998
5545175.886,7422060.6449,175.24330041919998
5545176.9509,7422060.6502,175.0075955048
5545178.0475,7422060.5828,174.66123119999997
5545179.1203,7422060.5228,174.2745364192
5545180.2143,7422060.6173,174.07992072400003
5545181.2898,7422060.6705,173.9128364192
5545182.3778,7422060.8079,173.72177211439998
5545183.5011,7422060.8956,173.44000811439997
5545184.5828,7422061.0375,173.16674659039998
5545185.7218,7422061.0723,172.61967691439997
5545186.8162,7422061.2568,172.0101381336
5545187.9537,7422061.3457,171.56502552400002
5545189.0388,7422061.5257,171.4236178288
5545190.1899,7422061.614,171.3380101336
5545191.2696,7422061.8159,171.2543126096
5545192.4242,7422061.9249,171.1850923048
5545193.5226,7422062.1549,171.07639999999998
5545194.6831,7422062.2441,171.1100126096
5545195.781,7422062.3996,171.040653524
5545196.956,7422062.3991,170.8920178288
5545198.082,7422062.4572,170.7564049144
5545199.2647,7422062.4908,170.5001846096
5545200.4194,7422062.5439,170.3437332192
5545201.6092,7422062.5631,170.1490332192
5545204.4459,7422062.4008,171.246389524
5545205.7057,7422062.3946,171.2144
5545206.9515,7422062.3222,171.1955049144
5545208.1956,7422062.2866,171.212661524
5545209.4751,7422062.1999,171.2157972192
5545210.7199,7422062.1465,171.2387818288
5545211.9111,7422061.8358,171.26815630480002
5545213.1244,7422061.6325,171.3405178288
5545214.2537,7422061.1898,171.3385126096
5545215.3833,7422060.8108,171.358161524
5545216.4827,7422060.3212,171.33440000000002
5545217.533,7422059.8041,171.31462060959998
5545218.5994,7422059.2594,171.3044332192
5545219.6382,7422058.6637,171.23976921919999
5545220.7123,7422058.1744,171.2375846096
5545221.746,7422057.5741,171.18099721919998
5545222.808,7422057.073,171.19794860960002
5545223.8639,7422056.4586,171.22047691440002
5545224.9093,7422055.9211,171.2445206096
5545225.9574,7422055.317,171.2430206096
5545226.9534,7422054.7428,171.29122830480003
5545228.0063,7422054.1638,171.4832126096
5545229.038,7422053.5559,171.771861524
5545230.0707,7422052.9629,171.8053049144
5545231.0798,7422052.3001,171.8828923048
5545232.1194,7422051.7237,171.8602101336
5545233.0894,7422050.9999,171.66357691439998
5545234.1575,7422050.4276,171.8545101336
5545235.1073,7422049.6754,171.884389524
5545236.1362,7422049.0553,171.9390563048
5545237.1112,7422048.3029,171.8565972192
5545238.0474,7422047.6052,171.7270923048
5545239.0324,7422046.842,171.53176152400002
5545239.96,7422046.1104,171.32659999999998
5545240.8984,7422045.3188,171.2026332192
5545241.7869,7422044.5697,171.11462830480002
5545242.6022,7422043.734,171.05752552400003
5545243.4382,7422042.9646,171.07446152400001
5545244.1801,7422042.1604,171.2423049144
5545244.7712,7422041.3561,171.3791178288
5545245.2297,7422040.5701,171.4378178288
5545245.5687,7422039.6649,171.3330283048
5545245.9323,7422038.783,171.3678206096
5545246.3809,7422037.896,171.35581013360002
5545246.9566,7422037.1282,171.303561524
5545247.5933,7422036.3338,171.2069563048
5545248.3497,7422035.6772,171.2048126096
5545249.1148,7422035.0027,171.38080000000002
5545249.95,7422034.3931,171.49627413360002
5545250.7611,7422033.7123,171.34177413359998
5545251.465,7422032.9683,171.24483321920002
5545252.1674,7422032.1277,171.503853524
5545252.8863,7422031.327,171.5728206096
5545253.5463,7422030.5112,171.7802283048
5545254.2676,7422029.7507,172.1966126096
5545254.7458,7422028.8312,172.6670081144
5545255.3068,7422027.9345,173.11802072400002
5545255.7011,7422026.9365,173.2122032
5545256.1749,7422026.0147,173.247228724
5545256.5529,7422024.9783,173.2182875048
5545256.982,7422024.0073,173.17032072400002
5545257.3663,7422022.9505,173.0998004192
5545257.7568,7422021.9429,173.0617850288
5545258.1719,7422020.8776,173.0197518096
5545258.623,7422019.8632,172.9988672
5545259.062,7422018.8031,172.9477388952
5545259.5624,7422017.7759,172.89457211440003
5545260.0726,7422016.732,172.876292724
5545260.5551,7422015.6686,172.83935672400003
5545261.0627,7422014.6135,172.8142798096
5545261.493,7422013.5279,172.7566955048
5545262.0084,7422012.4695,172.73127211439999
5545262.3755,7422011.3624,172.6767518096
5545262.8504,7422010.2999,172.66017211439998
5545263.1649,7422009.1635,172.6064441144
5545263.6049,7422008.0828,172.62733120000001
5545264.0024,7422006.9742,172.5717108952
5545264.4076,7422005.9233,172.512656724
5545264.8381,7422004.8715,172.62862350480003
5545265.2091,7422003.8527,172.6639032
5545265.4,7422002.7654,172.6202595048
5545265.6263,7422001.6861,172.83043120000002
5545265.7115,7422000.535,173.13922072399998
5545265.9101,7421999.4398,173.1852465904
5545265.9626,7421998.2533,173.052028724
5545266.1265,7421997.1434,173.0881004192
5545266.1867,7421995.9707,173.2308004192
5545266.3458,7421994.8517,173.424728724
5545266.4273,7421993.6783,173.7562108952
5545266.5975,7421992.5454,173.95867211440003
5545266.8116,7421991.4189,173.77858750480002
5545267.0103,7421990.2921,173.2055081144
5545267.2628,7421989.2063,172.9939032
5545267.4863,7421988.0863,173.27132072400002
5545267.7995,7421987.0589,172.9107004192
5545268.1631,7421986.0499,172.6766465904
5545268.5765,7421985.1058,172.61015180959998
5545268.9733,7421984.0841,172.6478644192
5545269.4226,7421983.1251,172.75535950480003
5545269.8915,7421982.0956,173.3663312
5545270.3852,7421981.1424,174.4448441144
5545270.9561,7421980.1052,174.3859644192
5545271.5627,7421979.1505,174.38957980959998
5545272.1555,7421978.0904,174.1576721144
5545272.8045,7421977.096,174.0485388952
5545273.3283,7421975.9818,174.1365748952
5545273.915,7421974.9078,174.17330811440002
5545274.2878,7421973.7765,174.6047748952
5545274.6774,7421972.7009,174.780720724
5545274.9481,7421971.5783,174.85085672399998
5545275.2007,7421970.4877,175.3928032
5545275.4204,7421969.3514,175.276064
5545275.5975,7421968.2628,175.8119206096
5545275.7646,7421967.1409,176.6017563048
5545275.8464,7421966.0222,176.72950000000003
5545276.034,7421964.8678,176.3648049144
5545276.1461,7421963.6881,176.7155153904
5545276.2925,7421962.5515,176.6954
5545276.3922,7421961.3196,176.67520000000002
5545276.5303,7421960.1551,176.6746
5545276.56,7421958.9385,176.67900000000003
5545276.6976,7421957.7974,176.6839
5545275.9849,7421956.0668,179.73020000000002
5545276.1114,7421954.9597,178.186564
5545276.0939,7421953.9028,177.7836178288
5545276.1096,7421952.865,177.60281089519998
5545275.9959,7421951.8751,177.285728724
5545275.7472,7421950.3482,176.84211580960002
5545275.5831,7421949.893,176.74522350479998
5545275.2805,7421949.0009,176.7272312
5545274.9534,7421948.1568,176.7438108952
5545274.5932,7421947.3455,176.8310004192
5545274.1602,7421946.4856,177.2766875048
5545273.6151,7421945.6204,177.4046108952
5545272.9334,7421945.1137,177.38279550480001
5545272.6295,7421944.7936,177.809756724
5545271.9805,7421944.6569,178.0447283048
5545271.3829,7421944.537,178.1168307808
5545270.8332,7421944.4304,178.5506950856
5545270.2998,7421944.3295,178.7096436952
5545269.742,7421944.2883,178.57398739040002
5545269.1962,7421944.262,178.3962923048
5545268.689,7421944.2177,178.26077691440003
5545268.1887,7421944.2488,178.06686678079998
5545267.5736,7421944.3545,178.01999999999998
5545266.9249,7421944.6835,188.3687283048
5545266.275,7421945.1246,188.6232716952
5545265.6342,7421945.7625,188.742604
5545264.9463,7421946.3684,188.8094806096
5545264.2796,7421947.12,188.8456076952
5545263.5335,7421947.8071,188.8448396952
5545262.7451,7421948.526,188.862636
5545261.9204,7421949.249,188.91098830480001
5545261.0762,7421949.9514,189.0394563048
5545260.3091,7421950.7375,189.0272206096
5545259.5173,7421951.4509,189.0733486096
5545258.8208,7421952.336,189.094968
5545258.142,7421953.1979,189.13219600000002
5545257.4633,7421954.1062,189.22048460960002
5545256.8242,7421955.0362,189.2569526096
5545256.0187,7421955.8912,189.3442126096
5545255.2877,7421956.7847,189.3937283048
5545254.4507,7421957.5771,189.4487486096
5545253.6729,7421958.4412,189.5540846096
5545252.8977,7421959.2112,189.600696
5545252.1684,7421960.0724,189.6806396952
5545251.4286,7421960.8808,189.7396
5545250.6812,7421961.6781,189.810404
5545249.9777,7421962.4904,189.8829166096
5545249.2259,7421963.2758,189.930068
5545248.5055,7421964.0838,189.98457569520002
5545247.7559,7421964.8402,190.03048830480003
5545247.0519,7421965.7089,190.1526283048
5545246.2881,7421966.5248,190.25141660960003
5545245.5395,7421967.468,190.3219166096
5545244.7505,7421968.3213,190.3724806096
5545243.9454,7421969.1747,190.4438883048
5545243.1096,7421969.9402,190.5758076952
5545242.2474,7421970.6999,190.7224243048
5545241.393,7421971.454,190.8164923048
5545240.4735,7421972.0856,190.930632
5545239.5421,7421972.7751,190.903836
5545238.5674,7421973.3658,191.01072430480002
5545237.6097,7421974.0414,191.21263599999997
5545236.6524,7421974.6799,191.32257230480002
5545235.6285,7421975.3341,191.3561043048
5545234.7008,7421976.0349,191.405916
5545233.711,7421976.7916,191.4468923048
5545232.7998,7421977.6728,191.5036883048
5545231.8819,7421978.5246,191.598136
5545231.0426,7421979.5254,191.730348
5545230.1604,7421980.4392,191.77252430480002
5545229.2434,7421981.3831,191.9430723048
5545228.3376,7421982.2879,191.95229600000002
5545227.374,7421983.1339,192.07297230480003
5545226.5096,7421984.107,192.1643123048
5545225.521,7421984.9373,192.24671230479998
5545224.5967,7421985.8221,192.3382
5545223.6757,7421986.6664,192.40345200000002
5545222.7636,7421987.5133,192.4637603048
5545221.916,7421988.4139,192.5008883048
5545221.041,7421989.2653,192.61642430479998
5545220.1759,7421990.2253,192.6797723048
5545219.3496,7421991.0889,192.80415630480002
5545218.4017,7421991.9072,192.883596
5545217.4528,7421992.6519,192.9811283048
5545216.4743,7421993.3516,193.09584800000002
5545215.4895,7421994.0788,193.1987923048
5545214.5108,7421994.73,193.29498
5545213.555,7421995.4627,193.3783716952
5545212.6005,7421996.1388,193.336296
5545211.6931,7421996.8864,193.44178000000002
5545210.7731,7421997.6418,193.51942369520003
5545209.8975,7421998.4399,193.702668
5545209.0957,7421999.4268,193.735984
5545208.2281,7422000.2913,193.714604
5545207.3743,7422001.2313,193.59438
5545206.5284,7422002.1576,191.809748
5545205.6282,7422002.9579,191.2568206096
5545204.7242,7422003.7742,190.6996846096
5545203.8038,7422004.5019,190.266068
5545202.8751,7422005.202,194.866248
5545201.9329,7422005.8702,189.684896
5545201.0349,7422006.5142,190.323632
5545200.1064,7422007.2085,190.7044166096
5545199.1891,7422007.8328,191.0015243048
5545198.1956,7422008.3189,195.67156400000002
5545197.2945,7422008.5949,195.688104
5545196.5798,7422008.5393,195.6873603048
5545196.0247,7422008.3495,195.689164
5545195.5198,7422007.9592,195.6667283048
5545195.2241,7422007.4412,195.6660876952
5545194.9005,7422006.8272,195.7175603048
5545194.4433,7422006.0917,195.5356443048
5545194.0627,7422005.262,195.542116
5545193.4967,7422004.3558,195.4601083048
5545193.0104,7422003.4095,195.39814800000002
5545192.613,7422002.3619,195.3143603048
5545192.2248,7422001.2991,195.240452
5545191.908,7422000.2389,195.1695
5545191.6012,7421999.0857,195.0783
5545191.3671,7421998.0123,194.985016
5545191.1453,7421996.8724,194.9195716952
5545190.8895,7421995.7358,194.80548000000002
5545190.7754,7421994.5725,194.7371716952
5545190.4706,7421993.3469,194.750716
5545190.2335,7421992.071,194.7769
5545189.9636,7421990.7723,194.5616876952
5545189.6091,7421989.4113,194.4717396952
5545189.2401,7421988.1273,194.457364
5545188.8319,7421986.79,194.32683600000001
5545188.4089,7421985.473,194.2230123048
5545187.9946,7421984.2235,194.12328000000002
5545187.5392,7421983.0365,193.977568
5545187.1077,7421981.9658,193.8282716952
5545186.6249,7421981.0536,193.6172556952
5545186.0131,7421980.3608,192.95028399999998
5545185.406,7421979.6572,192.091664
5545184.8767,7421978.9088,191.376084
5545184.4772,7421978.1064,188.8292603048
5545184.3076,7421977.281,187.98919600000002
5545184.2406,7421976.3751,187.0936563048
5545184.2167,7421975.4128,183.46707939040002
5545184.2301,7421974.4627,181.3172883048
5545184.1433,7421973.4552,180.6042486096
5545184.0929,7421972.4902,180.295064
5545184.0269,7421971.499,179.63743599999998
5545183.9154,7421970.4733,179.3103667808
5545183.906,7421969.4478,178.9851307808
5545183.7234,7421968.3648,178.71534860960003
5545183.5634,7421967.3089,178.4221846096
5545183.4045,7421966.205,178.2164206096
5545183.1767,7421965.083,177.9051076952
5545183.027,7421963.9852,177.4857364192
5545182.8907,7421962.8678,177.6429644192
5545182.8441,7421961.8099,177.9706409144
5545182.7846,7421960.7422,177.3317388952
5545182.8061,7421959.6939,176.9757465904
5545182.8114,7421958.6456,176.80066441920002
5545182.7924,7421957.6028,176.8512748952
5545182.8391,7421956.5612,176.8603672
5545182.7822,7421955.4944,176.7539465904
5545182.8527,7421954.4483,176.73797211439998
5545182.7994,7421953.3567,176.4427158096
5545182.7833,7421952.2856,176.1851235048
5545182.7145,7421951.1578,176.15893641920002
5545182.7144,7421950.0769,176.05745672400002
5545182.7442,7421948.9653,175.8803850288
5545182.7547,7421947.8732,175.3954595048
5545182.8692,7421946.7843,175.01413641919999
5545182.8896,7421945.6842,174.36848460960002
5545182.9398,7421944.5742,173.9342409144
5545182.9305,7421943.4475,173.496064
5545182.9374,7421942.3477,173.0336818288
5545182.9367,7421941.173,171.7876458288
5545183.0043,7421940.0349,171.2117692192
5545183.08,7421938.8752,171.209625524
5545183.1729,7421937.7256,171.303661524
5545183.3181,7421936.589,171.306764
5545183.4012,7421935.4158,171.4917409144
5545183.5776,7421934.2557,171.6146692192
5545183.6086,7421933.0879,171.6184381336
5545183.6987,7421931.9436,171.69535630480001
5545183.6382,7421930.7727,171.638389524
5545183.5675,7421929.6312,171.620453524
5545183.3859,7421928.4894,171.57632552400003
5545183.3234,7421927.3658,171.5119178288
5545183.2704,7421926.2337,171.4099923048
5545183.2517,7421925.1261,171.3701692192
5545183.3132,7421924.02,171.36247691440002
5545183.3159,7421922.9262,171.3478381336
5545183.4127,7421921.8658,171.3877178288
5545183.4737,7421920.7805,171.4987486096
5545183.6147,7421919.7283,171.5692126096
5545183.6317,7421918.6014,171.5682818288
5545183.7048,7421917.5028,171.58422552399998
5545183.7362,7421916.359,171.6172049144
5545183.8491,7421915.1679,171.606153524
5545184.0487,7421913.9912,171.7232178288
5545184.1682,7421912.7316,171.8737563048
5545184.4578,7421911.4646,172.097653524
5545184.5689,7421910.1784,172.1825332192
5545184.7237,7421908.9369,172.357364
5545184.7502,7421907.6981,172.29909230479998
5545184.7781,7421906.5155,172.24279721919999
5545184.6655,7421905.3565,172.3239923048
5545184.4597,7421904.2422,172.403289524
5545184.1696,7421903.126,172.1713923048
5545183.8242,7421902.0184,171.92399721919998
5545183.4827,7421900.8975,171.8845846096
5545183.1709,7421899.7823,171.693364
5545182.9058,7421898.6841,171.432989524
5545182.6062,7421897.6226,171.3159049144
5545182.3659,7421896.5573,171.6271486096
5545182.1003,7421895.5175,171.7794923048
5545181.8731,7421894.4945,172.01874860959998
5545181.6308,7421893.495,172.52576399999998
5545181.4189,7421892.5495,172.8162206096
5545181.2247,7421891.5347,172.9031563048
5545181.1172,7421890.5721,173.0696101336
5545181.1666,7421889.5005,173.5700206096
5545181.3158,7421888.4854,174.28866152400002
5545181.4443,7421887.4304,174.9368518096
5545181.7307,7421886.4456,175.08400319999998
5545181.9371,7421885.3813,175.6969004192
5545182.216,7421884.3907,175.955428724
5545182.4735,7421883.366,176.1832748952
5545182.8057,7421882.369,176.84643119999998
5545183.169,7421881.3546,177.3812955048
5545183.5202,7421880.3633,179.9622793904
5545183.8954,7421879.37,181.550396
5545184.2343,7421878.374,181.95573199999998
5545184.5785,7421877.3876,181.9396436952
5545184.9031,7421876.3893,181.9152563048
5545185.2914,7421875.4456,181.9551923048
5545185.7396,7421874.3774,181.7316153904
5545186.2439,7421873.3922,181.247536
5545186.9621,7421872.4868,180.4454716952
5545187.7329,7421872.0598,179.4788950856
5545188.604,7421871.716,178.36483599999997
5545189.4455,7421871.4944,177.49656720000002
5545190.2903,7421871.5578,177.3318721144
5545191.0352,7421871.7781,177.3076518096
5545191.7831,7421872.2291,177.5929004192
5545192.3063,7421872.8436,177.8308769144
5545192.9388,7421873.539,177.8472667808
5545193.4277,7421874.3864,177.66761089519997
5545193.9795,7421875.2892,177.7259158096
5545194.5434,7421876.2384,177.9443563048
5545195.1185,7421877.2048,179.008464
5545195.6323,7421878.2138,180.8021307808
5545196.0887,7421879.2492,182.58640000000003
5545196.4393,7421880.2712,182.6087
5545196.7451,7421881.301,182.5987
5545196.8873,7421882.3142,182.58740400000002
5545197.0098,7421883.3354,182.5632206096
5545196.9802,7421884.3691,182.4847756952
5545196.9936,7421885.3994,182.39368339039999
5545196.8792,7421886.4212,182.3197833904
5545196.7207,7421887.486,182.2361793904
5545196.5386,7421888.519,182.1247116952
5545196.3928,7421889.5984,181.9881923048
5545196.1852,7421890.6385,181.7894756952
5545196.005,7421891.721,181.52050000000003
5545195.7582,7421892.7817,181.275868
5545195.5126,7421893.8176,180.74405908560001
5545195.2765,7421894.8604,179.7796950856
5545195.126,7421895.9363,178.5410126096
5545195.0239,7421896.952,178.0472846096
5545195.0139,7421898.0082,177.5608158096
5545195.0144,7421899.0272,177.2384364192
5545195.0284,7421900.0373,176.903956724
5545195.1195,7421901.0708,176.7697875048
5545195.2268,7421902.0558,176.81520319999998
5545195.3928,7421903.0174,176.9526748952
5545195.6485,7421903.9507,177.1117004192
5545195.8963,7421904.8923,177.5997955048
5545196.1004,7421905.8144,177.67649550480002
5545196.3622,7421906.8089,177.51784659039998
5545196.5919,7421907.8296,177.3813388952
5545196.7073,7421908.8215,177.15567980959997
5545196.6603,7421909.8573,176.8802518096
5545196.5155,7421910.845,176.493820724
5545196.2576,7421911.8668,176.1739672
5545195.8907,7421912.8211,175.7327158096
5545195.4195,7421913.8059,175.1505955048
5545194.9199,7421914.7593,174.7542158096
5545194.4648,7421915.7921,174.2836486096
5545193.8723,7421916.7489,173.9462741336
5545193.413,7421917.811,173.45409721919998
5545192.9048,7421918.8578,173.2881126096
5545192.4666,7421919.9666,173.0934741336
5545192.09,7421921.0382,173.0053381336
5545191.7865,7421922.1558,172.7582
5545191.5475,7421923.2681,172.5832206096
5545191.3541,7421924.368,172.64132830480003
5545191.4131,7421925.5051,172.6827332192
5545191.4714,7421926.6664,172.69694582879998
5545191.5847,7421927.8357,172.71492830480003
5545191.7591,7421929.0111,172.7574923048
5545191.8123,7421930.2117,172.8529972192
5545191.9328,7421931.4204,172.82964582879998
5545191.9556,7421932.5932,172.88786921919998
5545191.9589,7421933.8,172.8939049144
5545191.9827,7421934.9718,172.91434582879998
5545191.9485,7421936.1234,172.8867741336
5545191.9634,7421937.298,173.119261524
5545191.9077,7421938.4326,173.2901486096
5545191.908,7421939.5847,173.2288283048
5545191.8696,7421940.7154,173.195464
5545191.8428,7421941.8528,173.2187563048
5545191.8694,7421942.9776,173.2897563048
5545191.8351,7421944.0663,173.4599049144
5545191.9884,7421945.1349,173.5634458288
5545192.214,7421946.0985,173.75437413359998
5545192.3457,7421947.1626,174.0381409144
5545192.4839,7421948.1919,174.03874582880002
5545192.5511,7421949.3404,174.134464
5545192.7692,7421950.5238,174.2313741336
5545192.8989,7421951.6569,174.5315923048
5545193.0399,7421952.8604,174.71945630480002
5545193.1467,7421954.0236,174.7097206096
5545193.273,7421955.1944,174.9292955048
5545193.3923,7421956.3794,175.20955672399998
5545193.4641,7421957.5606,175.45874659039998
5545193.6023,7421958.7418,175.7030312
5545193.6735,7421959.8856,176.00109272400002
5545193.8492,7421961.0656,176.1922081144
5545193.9679,7421962.1479,176.3581108952
5545194.2408,7421963.3635,176.47247211440003
5545194.5218,7421964.5368,176.6564595048
5545194.7411,7421965.7894,177.0716388952
5545194.9901,7421967.0407,177.52608502880003
5545195.0946,7421968.2835,177.84107169520001
5545195.1497,7421969.5404,177.77165630480002
5545195.09,7421970.7273,177.9425126096
5545195.0046,7421971.9506,178.3307409144
5545194.8566,7421973.1067,179.1665513904
5545194.5401,7421974.2766,179.2306923048
5545194.1236,7421975.352,179.6195923048
5545193.5235,7421976.4197,179.4532409144
5545192.8807,7421977.476,179.14460491440002
5545192.2503,7421978.5399,179.4946307808
5545191.6399,7421979.6,180.2569793904
